Date,Description,Inflow,Outflow,Ending Daily Balance
"January 1, 2026",Holiday Inn,---,$379.62,$138.90
"January 2, 2026",Fundbox,---,$839.87,---
"January 2, 2026",Intuit Financing,---,$88.34,---
"January 2, 2026",Giant Eagle,---,$54.75,---
"January 2, 2026",Withdrawal,---,$26.74,---
"January 2, 2026",,"$2,085.00",---,$936.40
"January 3, 2026",Amazon,---,$5.27,---
"January 3, 2026",Amazon,---,$2.09,---
"January 3, 2026",Kroger Fuel Center,---,$50.75,$878.29
"January 5, 2026",,"$2,255.90",---,---
"January 5, 2026",Payment to First Insurance,---,$414.88,---
"January 5, 2026",Intuit Financing,---,$172.25,---
"January 5, 2026",,---,"$2,255.90",---
"January 5, 2026",Sirius XM,---,$45.98,---
"January 5, 2026",,---,$29.00,---
"January 5, 2026",Intuit Financing,---,$31.07,$185.11
"January 6, 2026",Deposit,"$2,675.00",---,---
"January 6, 2026",Xfer To ******7421,---,$750.00,---
"January 6, 2026",Payment to Affirm.com,---,$54.84,"$2,055.27"
"January 7, 2026",Sheffield Financial,---,$419.97,---
"January 7, 2026",Giant Eagle,---,$34.99,---
"January 7, 2026",Deposit,"$3,500.00",---,---
"January 7, 2026",Lowe's,---,$100.00,"$5,000.31"
"January 8, 2026",,---,"$2,265.90",---
"January 8, 2026",Fundbox,---,$726.32,---
"January 8, 2026",Xfer To ******7570,---,$619.00,---
"January 8, 2026",Blue Ridge Bank Deposit,"$1,830.20",---,---
"January 8, 2026",RMT*IV*XXXX*175.00\DTM*XXX*XX1104\,$175.00,---,---
"January 8, 2026",Xfer To ******7570,---,"$1,500.00","$1,894.29"
"January 9, 2026",Xfer To ******8704,---,$150.00,"$1,744.29"
"January 11, 2026",Walmart,---,$73.19,---
"January 11, 2026",Walmart,---,$0.94,"$1,670.16"
"January 12, 2026",Walmart,---,$58.92,---
"January 12, 2026",,"$9,263.00",---,"$10,874.24"
"January 13, 2026",Giant Eagle,---,$50.00,---
"January 13, 2026",Intuit Financing,---,$90.83,---
"January 13, 2026",CVS Pharmacy,---,$23.73,---
"January 13, 2026",Intuit Financing,---,$57.42,---
"January 13, 2026",Xfer To *****9370,---,$350.00,---
"January 13, 2026",Xfer To ******8704,---,$250.00,---
"January 13, 2026",Payment to Pekin Insurance,---,$990.76,"$9,061.50"
"January 14, 2026",Payment to Synchrony Bank,---,$200.00,---
"January 14, 2026",Intuit Financing,---,$119.63,---
"January 14, 2026",,---,$154.10,---
"January 14, 2026",Best Buy,---,$175.00,---
"January 14, 2026",Tax Payment to IRS,---,$168.00,---
"January 14, 2026",Intuit Financing,---,$358.82,---
"January 14, 2026",Xfer To ******8704,---,$150.00,---
"January 14, 2026",Payment to Citibank,---,$150.00,---
"January 14, 2026",,---,$218.97,---
"January 14, 2026",Tax Payment to IRS,---,"$2,574.36",---
"January 14, 2026",Intuit Financing,---,$54.99,"$4,737.63"
"January 15, 2026",Payment to Capital One,---,$263.39,---
"January 15, 2026",Payment to Capital One,---,$150.00,---
"January 15, 2026",Xfer To ******7570,---,"$2,118.00",---
"January 15, 2026",,---,$75.00,---
"January 15, 2026",Intuit Financing,---,$57.38,---
"January 15, 2026",Giant Eagle,---,$55.32,---
"January 15, 2026",Fundbox,---,$726.32,---
"January 15, 2026",,---,$134.97,---
"January 15, 2026",Xfer To ******8704,---,$250.00,---
"January 15, 2026",AFIC 2777 EFT - AFC EMPAFBCXX1799,---,$80.00,---
"January 15, 2026",Intuit Financing,---,$129.14,---
"January 15, 2026",Xfer To ******8704,---,$125.00,$573.11
"January 16, 2026",,---,$4.39,---
"January 16, 2026",Xfer To ******8704,---,$125.00,---
"January 16, 2026",,"$1,025.00",---,---
"January 16, 2026",Xfer To ******2180,---,$150.00,---
"January 16, 2026",Walmart,---,$11.57,---
"January 16, 2026",Centra Credit Union,"$4,125.00",---,---
"January 16, 2026",Payment to Vectren,---,$161.52,---
"January 16, 2026",CVS Pharmacy,---,$22.17,---
"January 16, 2026",Deposit,$875.00,---,---
"January 16, 2026",Gillman Home Center,---,$11.76,---
"January 16, 2026",,---,$158.00,"$5,953.70"
"January 17, 2026",Walmart,---,$43.96,---
"January 17, 2026",Xfer To ******8704,---,$200.00,---
"January 17, 2026",Xfer To ******8704,---,$125.00,"$5,584.74"
"January 18, 2026",,---,$3.20,---
"January 18, 2026",,---,$75.00,---
"January 18, 2026",Xfer To ******8704,---,$125.00,---
"January 18, 2026",SP AFF GRUNTST SAN FRANCISCO CAUS,---,$64.72,"$5,316.82"
"January 19, 2026",Xfer To *****9370,---,"$1,000.00",---
"January 19, 2026",,---,$884.29,"$3,432.53"
"January 20, 2026",Iu Credit Union,---,$500.00,---
"January 20, 2026",Xfer To ******8704,---,$125.00,---
"January 20, 2026",Giant Eagle,---,$56.00,---
"January 20, 2026",Walmart,---,$0.44,---
"January 20, 2026",Intuit Financing,---,$145.86,---
"January 20, 2026",Intuit Financing,---,$121.89,---
"January 20, 2026",Uplift,---,$169.19,---
"January 20, 2026",,---,$39.99,---
"January 20, 2026",,---,$309.23,---
"January 20, 2026",Xfer To ******8704,---,$100.00,"$1,864.93"
"January 21, 2026",Source One,---,$475.00,---
"January 21, 2026",Intuit Financing,---,$33.49,---
"January 21, 2026",Intuit Financing,---,$31.08,---
"January 21, 2026",Intuit Financing,---,$78.89,---
"January 21, 2026",Xfer To ******7570,---,"$2,118.00",---
"January 21, 2026",,$875.00,---,---
"January 21, 2026",Deposit,"$3,825.00",---,---
"January 21, 2026",Walmart,---,$50.36,---
"January 21, 2026",Intuit Financing,---,$45.46,---
"January 21, 2026",Intuit Financing,---,$66.95,---
"January 21, 2026",Xfer To *****9370,---,$250.00,"$3,415.70"
"January 22, 2026",Giant Eagle,---,$52.06,---
"January 22, 2026",Fundbox,---,$726.32,---
"January 22, 2026",Xfer To ******8704,---,$125.00,---
"January 22, 2026",Check # 1054: Completed,---,$421.50,---
"January 22, 2026",Xfer To ******8704,---,$125.00,---
"January 22, 2026",Xfer To *****9370,---,$250.00,---
"January 22, 2026",RMT*IV*XXXX*200.00\DTM*XXX*XX0105\,$200.00,---,---
"January 22, 2026",Giant Eagle,---,$33.14,---
"January 22, 2026",,$440.00,---,"$2,322.68"
"January 21, 2026",,---,$23.25,---
"January 22, 2026",Card Hold; Walmart.com Bentonville ARUS,---,$16.76,---
"January 22, 2026",,---,$99.96,---
"January 23, 2026",VERIZON WIRELESS - PAYMENTS,---,$468.19,---
